"DT_NASC*","CNL-ENTRADA","Vlr$Solicitado","RENDA_MENSAL","dt_solic","ID_REQ_","tipoCRED","PROPOSTA_PARCELA","UF","Score_Pontos"
"2000/10/05","Loja Física","R$ 44.317,88","4108.8","2023-08-05","c3f27c1e","CONSIGNADO","963.43","RN","754"
"17-12-2002","","R$ 253.642,69","19517.59","2024-07-18","a72a1b64","Empresarial","14920.16","PA","274"
"1967-08-19","L. Fisica","R$ 12.202,29","","12/04/2026","d001a8a2","Refinanciamento","","RJ","260"
"30/09/1967","Loja Física","R$ 111.733,82","23504.56","2025-11-30","cbf80e90","Pessoal","11173.38","RS","859_A"
"1984-12-04","App","R$ 331.977,95","24101.28","","ced803fe","Consignado","16598.9","RN","860"
"2002-06-05","Correspondente Bancário","R$ 30.686,10","2618.94","2025-07-02","aed8261a","Consignado","767.15","CE","939"
"1959-04-06","App","R$ 241.575,63","20383.47","2025-01-13","b34ac9aa","Pessoal","","BA",""
"2001-08-15","App","R$ 6.158,65","4638.09","2024-03-03","c61b3f4f","PESSOAL","181.14","ES","470"
"1965-11-30","App","R$ 88.728,42","22422.83","15/06/2025","c1b4ffcb","Pessoal","1529.8","AM","273"
"22-09-2001","Correspondente Bancário","","14477.34","2026-05-24","01d75cac","Empresarial","5022.13","SE","223"
"1987-07-07","SITE","R$ 16.525,35","6393.34","2024-08-23","0ebde5b0","Empresarial","284.92","SE","526"
"08/04/1976","Correspondente Bancário","R$ 176.325,98","15048.82","2024-12-09","ba5fcffd","Empresarial","17632.6","CE","504"
"1995-09-12","Correspondente Bancário","R$ 119.913,81","9892.6","2025-04-01","440314fb","Consignado","","PE","208"
"1996-12-07","site","R$ 24.941,95","2628.13","2023-01-21","0158df7a","Empresarial","3117.74","PR","386"
"1973-04-05","Site","R$ 76.827,83","18531.87","2024-11-14","c94d714a","Empresarial","1707.29","GO","908"
"1978-03-07","App","R$ 68.771,08","19908.06","2024-04-23","f76f84f6","Consignado","2149.1","GO","868"
"1989-12-19","Site","R$ 17.668,01","23040.78","30/04/2024","30533087","Empresarial","1766.8","PA","463"
"","loja_fisica","R$ 36.733,73","4333.06","2023-08-31","49645bad","Refinanciamento","874.61","PR","809"
"2001-07-22","Site","R$ 134.505,56","9048.81","2026-04-06","f02e9fc9","Refinanciamento","4075.93","PE","333"
"1974-12-08","Site","R$ 113.483,02","19545.68","2024-06-05","237580aa","Refinanciamento","4539.32","ES","826"
"15/10/1958","Correspondente Bancário","R$ 64.343,13","4359.88","2026-03-08","e5e65afa","Empresarial","1261.63","RS","416"
"1978-06-03","WhatsApp","R$ 7.437,61","5134.37","2023-05-27","3ee3393c","Consignado","275.47","AM","971"
"1999-09-16","Loja Física","R$ 17.219,06","18169.13","24/08/2023","1f9f4400","","409.98","GO","721"
"1958-07-29","Correspondente Bancário","R$ 93.425,18","7386.26","2024-02-29","e3f4726d","Refinanciamento","1946.36","PB","523"
"1995-04-13","Correspondente Bancário","R$ 277.791,76","21174.35","2023-09-06","a11e818f","Pessoal","23149.31","SC","964"
"2003-10-28","Site","R$ 29.637,30","3654.67","2024-12-17","179736e3","Refinanciamento","740.93","RN","904"
"1976-10-19","WhatsApp","R$ 48.321,18","7443.46","2023-09-16","6b044866","Consignado","1050.46","PI","ERR"
"1993-03-18","WhatsApp","R$ 184.917,60","20226.19","19/02/2024","f6ae4e43","Empresarial","4997.77","PA","979"
"1974-12-20","App","R$ 2.089,18","5778.57","2025-12-07","eb677f1b","Refinanciamento","","CE","786"
"1982-06-29","Loja Física","R$ 4.117,39","6544.67","26/05/2024","3f5a1446","Empresarial","205.87","RN","986"
